2026-04-09 13:00:15,792 | INFO | rappi | [rappi] Seteo de dirección finalizado.
2026-04-09 13:00:16,106 | INFO | rappi | [rappi] Screenshot guardado: results\screenshots\rappi\rappi_CDMX_CONDESA_01_after_address_20260409_180015.png
2026-04-09 13:00:16,106 | INFO | rappi | [rappi] Intento 1/3
2026-04-09 13:00:16,106 | INFO | rappi | [rappi] Buscando order: 'Home Office con Big Mac'
2026-04-09 13:00:17,659 | INFO | rappi | [rappi] Esperando 1.95s...
2026-04-09 13:00:19,607 | INFO | rappi | [rappi] Búsqueda escrita: 'Home Office con Big Mac' con selector: [data-qa='search-wrapper-desktop'] [data-qa='input']
2026-04-09 13:00:19,607 | INFO | rappi | [rappi] Esperando 2.34s...
2026-04-09 13:00:21,965 | INFO | rappi | [rappi] get_by_text exact encontró 'Home Office con Big Mac'
2026-04-09 13:00:26,625 | INFO | rappi | [rappi] Esperando 1.76s...
2026-04-09 13:00:28,402 | INFO | rappi | [rappi] Evaluando 6 candidatos con selector: a[href*='/tiendas/']
2026-04-09 13:00:28,456 | INFO | rappi | [rappi] Evaluando 2 candidatos con selector: a[href*='/store/']
2026-04-09 13:00:28,471 | INFO | rappi | [rappi] Evaluando 71 candidatos con selector: a[href*='/restaurantes/']
2026-04-09 13:00:28,938 | INFO | rappi | [rappi] Evaluando 171 candidatos con selector: [data-testid*='restaurant'] a
2026-04-09 13:00:29,038 | INFO | rappi | [rappi] Coincidencia PARCIAL candidata: '1
Home Office con Big Mac
$112.99$174.00
35%'
2026-04-09 13:00:29,928 | INFO | rappi | [rappi] Evaluando 5 candidatos con selector: [data-testid*='restaurant']
2026-04-09 13:00:29,965 | INFO | rappi | [rappi] Evaluando 7 candidatos con selector: [data-qa*='store']
2026-04-09 13:00:30,015 | INFO | rappi | [rappi] Evaluando 141 candidatos con selector: [data-qa*='restaurant']
2026-04-09 13:00:30,715 | INFO | rappi | [rappi] Evaluando 253 candidatos con selector: a
2026-04-09 13:00:32,183 | INFO | rappi | [rappi] Click realizado en el resultado seleccionado.
2026-04-09 13:00:32,184 | INFO | rappi | [rappi] Resultado seleccionado correctamente para 'Home Office con Big Mac'
2026-04-09 13:00:32,184 | INFO | rappi | [rappi] Esperando 2.04s...
2026-04-09 13:00:34,469 | INFO | rappi | [rappi] Screenshot guardado: results\screenshots\rappi\rappi_CDMX_CONDESA_01_home_office_con_big_mac_search_20260409_180034.png
2026-04-09 13:00:34,477 | INFO | rappi | [rappi] Candidato tiempo envío: '13 min' → 13 min
2026-04-09 13:00:34,477 | INFO | rappi | [rappi] Candidato tiempo envío: '12 min' → 12 min
2026-04-09 13:00:34,477 | INFO | rappi | [rappi] Tiempo de entrega mínimo extraído: 12 min
2026-04-09 13:00:34,481 | WARNING | rappi | [rappi] No se encontró costo de envío en etiquetas <p>
2026-04-09 13:00:34,481 | INFO | rappi | [rappi] tiempo_envio: 12 | costo_envio: None
2026-04-09 13:00:34,482 | INFO | rappi | [rappi] Esperando 3.69s...
2026-04-09 13:00:38,173 | INFO | rappi | [rappi] Buscando producto 'Home Office con Big Mac' en H4...
2026-04-09 13:00:38,241 | INFO | rappi | [rappi] H4 encontrado con texto: 'Home Office con Big Mac'
2026-04-09 13:00:43,275 | WARNING | rappi | [rappi] Falló clic en contenedor del producto: Locator.click: Timeout 5000ms exceeded.
Call log:
  - waiting for locator("h4").nth(15).locator("..")
    - locator resolved to <div class="sc-c6d9f71e-2 kYrYjS">…</div>
  - attempting click action
    2 × waiting for element to be visible, enabled and stable
      - element is visible, enabled and stable
      - scrolling into view if needed
      - done scrolling
      - <img decoding="async" data-nimg="fill" alt="Home Office con Big Mac" src="https://images.rappi.com.mx/products/d9b3d38b-60bf-4698-82a8-25249afc15ae.png?e=webp&q=80&d=130x130"/> from <div id="portal-root-container">…</div> subtree intercepts pointer events
    - retrying click action
    - waiting 20ms
    - waiting for element to be visible, enabled and stable
